game_type,player1,player2,winner,seed,game_time
othello,mctsstrategy1000(mobility_strategy),mctsrave1000,1,22025001,1111.8151347637177
othello,mctsstrategy1000(mobility_strategy),mctsrave2000,1,22025001,1397.0004031658173
othello,mctsstrategy1000(mobility_strategy),mcts10000,1,22025001,2577.8204157352448
othello,mctsstrategy10000(mobility_strategy_vs),mobility_strategy_vs,1,22025001,17174.692395210266
othello,mctsstrategy10000(mobility_strategy_vs),mctsrave10000,1,22025001,18299.837851285934
othello,mctsstrategy1000(mobility_strategy),mctsrave5000,1,22025001,1825.0225811004639
othello,mctsstrategy1000(mobility_strategy),random_strategy,1,22025001,1090.6629168987274
othello,mctsstrategy10000(mobility_strategy_vs),random_strategy,1,22025001,18604.93800497055
othello,mctsstrategy1000(mobility_strategy),mobility_strategy_vs,1,22025001,1012.8240807056427
othello,mctsstrategy1000(mobility_strategy),mobility_strategy,1,22025001,929.4293076992035
othello,mctsstrategy10000(mobility_strategy_vs),mctsrave5000,1,22025001,19947.578214406967
othello,mctsstrategy1000(mobility_strategy),mctsrave10000,1,22025001,2485.536184310913
othello,mctsstrategy10000(mobility_strategy_vs),mobility_strategy,1,22025001,18965.200768232346
othello,mctsstrategy1000(mobility_strategy),mctsstrategy1000(mobility_strategy),2,22025001,1972.754436969757
othello,mctsstrategy1000(mobility_strategy),mctsstrategy1000(mobility_strategy_vs),2,22025001,3236.495011806488
othello,mctsstrategy1000(mobility_strategy),mctsstrategy2000(mobility_strategy),2,22025001,3188.9097170829773
othello,mctsstrategy10000(mobility_strategy_vs),mctsstrategy1000(mobility_strategy_vs),1,22025001,20930.080251932144
othello,mctsstrategy2000(mobility_strategy),mcts1000,1,22025001,2282.6282589435577
othello,mctsstrategy1000(mobility_strategy),mctsstrategy2000(mobility_strategy_vs),2,22025001,4884.531322002411
othello,mctsstrategy2000(mobility_strategy),mcts2000,1,22025001,2486.7184765338898
othello,mctsstrategy1000(mobility_strategy),mctsstrategy5000(mobility_strategy),2,22025001,5876.6341807842255
othello,mctsstrategy2000(mobility_strategy),mctsrave1000,1,22025001,2276.103115797043
othello,mctsstrategy2000(mobility_strategy),mcts5000,2,22025001,2897.7996973991394
othello,mctsstrategy2000(mobility_strategy),mctsrave2000,1,22025001,2486.0383706092834
othello,mctsstrategy10000(mobility_strategy_vs),mctsstrategy2000(mobility_strategy_vs),1,22025001,22772.435253620148
othello,mctsstrategy2000(mobility_strategy),mcts10000,2,22025001,3618.89576792717
othello,mctsstrategy2000(mobility_strategy),mctsrave5000,1,22025001,3002.5703966617584
othello,mctsstrategy2000(mobility_strategy),random_strategy,1,22025001,1994.901240348816
othello,mctsstrategy2000(mobility_strategy),mobility_strategy,1,22025001,2081.9911687374115
othello,mctsstrategy2000(mobility_strategy),mobility_strategy_vs,1,22025001,2161.2930133342743
othello,mctsstrategy10000(mobility_strategy_vs),mctsstrategy1000(mobility_strategy),1,22025001,19705.312448501587
othello,mctsstrategy1000(mobility_strategy),mctsstrategy5000(mobility_strategy_vs),1,22025001,10294.044187307358
othello,mctsstrategy2000(mobility_strategy),mctsrave10000,1,22025001,3512.428329229355
othello,mctsstrategy2000(mobility_strategy),mctsstrategy1000(mobility_strategy_vs),2,22025001,4270.748048067093
